QC,Study ID,Reference,Collector,coral,plant,algae,fish,inverts,mobile inverts,sessile inverts,marine mammals,phytoplankton,zooplankton,mesh size,mesh size units,Descriptor of Taxa Sampled,Sys,Lat,Long,Loc,Event?,Event type,A priori?,Year of Event,Notes,Vis,Trwl,Line,Drdg,Trp,Source,Site,n1,n2,sub1,sub2,I1,I2,ind1_error,ind1_error_type,ind2_error,ind2_error_type,P1,P2,SiSz,SiSz (units),PltSz,PltSz (units),T1,T1m,T2,T2m,SppR1,SppR1 Error,SppR1 Error Type,SppR2,SppR2 Error,SppR2 Error Type,Shan1,Shan1 Error,Shan1 Error Type,Shan2,Shan2 Error,Shan2 Error Type,Simps1,Simps1 Error,Simps1 Error Type,Simps2,Simps2 Error,Simps2 Error Type,Even1,Even1 Error,Even1 Error Type,Even2,Even2 Error,Even2 Error Type
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2004,Aug,2004,Nov,27.01863354,,,12.48447205,,,3.063686686,,,0.414385572,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2004,Nov,2005,Feb,12.48447205,,,9.875776398,,,0.414385572,,,1.382548075,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2005,Feb,2005,May,9.875776398,,,19.00621118,,,1.382548075,,,2.496217339,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2005,May,2005,Aug,19.00621118,,,28.32298137,,,2.496217339,,,2.861469239,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2005,Aug,2005,Nov,28.32298137,,,28.13664596,,,2.861469239,,,3.060260659,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2005,Nov,2006,Feb,28.13664596,,,15.65217391,,,3.060260659,,,2.115694478,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2006,Feb,2006,May,15.65217391,,,24.59627329,,,2.115694478,,,2.314719756,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2006,May,2006,Aug,24.59627329,,,30.37267081,,,2.314719756,,,2.91891658,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2006,Aug,2006,Nov,30.37267081,,,22.17391304,,,2.91891658,,,1.537759963,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,N1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2003,Feb,2003,May,3.727663842,,,13.66204935,,,1.373966942,,,2.055785124,,,,,,,,,,,,,,
