Taxa list,1991-C,1991-SE,1991-F,2008-C,2008-SE,2008-F
Desmarestia ligulata (Lightf.) J.V. Lamour.,0.2,0.1,11,0,0,1.4

Dictyopteris polypodioides (DC.) J.V. Lamour.,0.3,0,38.7,0.2,0,26.3

Dictyota dichotoma (Huds.) J.V. Lamour.,2.4,0.4,44.6,1.6,0.2,50.3

Halidrys siliquosa (L.) Lyngb.,e,e,e,0,0,0.3

Halopteris filicina (Gratel.) KÌ_tz.,0,0,6.8,0.1,0,11

Hincksia granulosa (Smith) P.C. Silva,e,e,e,0,0,0.8

Laminaria ochroleuca Bach. Pyl.,2.9,0.7,11.6,e,e,e

Phyllariopsis brevipes (C. Agardh) E.C. Henry & South,0,0,5.1,0,0,3.1

Saccorhiza polyschides (Lightf.) Batters,0.9,0.4,24.6,e,e,e

Sargassum vulgare C. Agardh,e,e,e,0,0,0.6

Spatoglossum solieri (Chauv. ex Mont.) KÌ_tz.,0,0,3.1,0,0,2

Stypocaulon scoparium (L.) KÌ_tz.,0,0,0.8,0.4,0.1,7.6

Taonia atomaria (Woodw.) J. Agardh,0.1,0,7.1,0.4,0.1,11.6

Zanardinia typus (Nardo) G. Furnari,7.5,0.9,50.6,13.3,0.9,77.1

Bryopsis pennata J.V. Lamour.,e,e,e,0,0,0.6

Bryopsis plumosa (Huds.) C. Agardh,e,e,e,0.1,0,7.3

Chaetomorpha linum (O.F. MÌ_ll.) KÌ_tz.,e,e,e,0,0,0.6

Chaetomorpha mediterranea (KÌ_tz.) KÌ_tz.,e,e,e,0,0,0.3

Cladophora hutchinsiae (Dillwyn) KÌ_tz.,e,e,e,0,0,2.8

Cladophora lehmanniana (Lindenb.) KÌ_tz.,e,e,e,0.1,0,8.5

Cladophora pellucida (Huds.) KÌ_tz.,0.3,0,30.5,1.2,0.2,42.9

Cladophora prolifera (Roth) KÌ_tz.,0,0,2.3,0.2,0.1,16.1

Codium adhaerens C. Agardh,0,0,0.3,0,0,0.6

Codium decorticatum (Woodw.) M.A.Howe,6,1.1,18.9,6.1,0.9,25.1

Codium fragile (Suringar) Hariot,e,e,e,0,0,2.3

Codium vermilara (Olivi) Chiaje,e,e,e,0.5,0.1,15.5

Derbesia tenuissima (Moris & De Not.) P. Crouan & H. Crouan,e,e,e,0.5,0.1,17.2

Halicystis parvula Schmitz ex Murray,0,0,2,0.1,0,22.3

Ulva pseudocurvata Koeman & Hoek,0,0,0.8,0.3,0.1,27.1

Ulva rigida C. Agardh,0.2,0,26.8,0.1,0.1,1.7

Umbraulva olivascens (P.J.L.Dangeard) G.Furnari,e,e,e,0.1,0,5.6
